timestamp,x,y,z,w
1523148933906245,0.0897827,0.292114,-0.739319,-0.600037
1523148933934814,0.0897217,0.29187,-0.73938,-0.600098
1523148933943838,0.0897827,0.291748,-0.739319,-0.600281
1523148933966398,0.0899658,0.291748,-0.739197,-0.600403
1523148933988962,0.090332,0.291748,-0.739136,-0.600403
1523148934003997,0.090332,0.291748,-0.739136,-0.600403
1523148934026557,0.090332,0.291687,-0.739136,-0.600403
1523148934047112,0.0905151,0.291382,-0.739502,-0.600098
1523148934063656,0.0901489,0.291199,-0.739868,-0.599792
1523148934086216,0.0894775,0.290649,-0.73999,-0.599976
1523148934107272,0.0888672,0.290588,-0.740234,-0.599792
1523148934123824,0.0899048,0.289551,-0.74054,-0.599731
1523148934146878,0.0911865,0.287842,-0.740967,-0.599915
1523148934168937,0.0930786,0.287109,-0.740906,-0.600037
1523148934183978,0.0946045,0.28656,-0.740662,-0.600342
1523148934206537,0.0953369,0.286133,-0.74054,-0.600586
1523148934229096,0.0949097,0.286316,-0.740356,-0.60083
1523148934243636,0.09375,0.287415,-0.740051,-0.600769
1523148934266196,0.0922852,0.288269,-0.739868,-0.600891
1523148934289260,0.0912476,0.288635,-0.739746,-0.601013
1523148934303293,0.0908813,0.288696,-0.739624,-0.601135
1523148934326356,0.0908203,0.288879,-0.739502,-0.601257
1523148934348919,0.0908203,0.289124,-0.739319,-0.601318
1523148934362953,0.0908203,0.289246,-0.739319,-0.601318
1523148934386515,0.0907593,0.289307,-0.73938,-0.601196
1523148934416093,0.0906982,0.289368,-0.73938,-0.601196
1523148934423113,0.0906982,0.289429,-0.739319,-0.601196
1523148934446173,0.0906372,0.289368,-0.739319,-0.601196
1523148934468733,0.0906372,0.289368,-0.739319,-0.601196
1523148934483272,0.0905762,0.289612,-0.739319,-0.601196
1523148934506334,0.0906372,0.289551,-0.739319,-0.601196
1523148934528896,0.0901489,0.28949,-0.739746,-0.600769
1523148934542940,0.0888672,0.288818,-0.73999,-0.600952
1523148934566495,0.0872192,0.288757,-0.740723,-0.600403
1523148934589054,0.0870361,0.287842,-0.74115,-0.60022
1523148934603092,0.0878296,0.286194,-0.741638,-0.600342
1523148934626155,0.0899048,0.285522,-0.741455,-0.600586
1523148934648717,0.0917969,0.284668,-0.741333,-0.600891
1523148934663252,0.0934448,0.283997,-0.74115,-0.601135
1523148934686313,0.0942383,0.283508,-0.741089,-0.601379
1523148934708875,0.0942383,0.283447,-0.741089,-0.601379
1523148934729930,0.0939331,0.283936,-0.740906,-0.601379
1523148934754498,0.0927124,0.284973,-0.740601,-0.60144
1523148934769032,0.0910034,0.285889,-0.740356,-0.601563
1523148934789588,0.0898438,0.286682,-0.73999,-0.601807
1523148934806132,0.0900879,0.286865,-0.739685,-0.602112
1523148934828692,0.0910645,0.28656,-0.739319,-0.602539
1523148934849924,0.0922852,0.286377,-0.738953,-0.602844
1523148934866466,0.0931396,0.286072,-0.73877,-0.603088
1523148934889026,0.0933838,0.285828,-0.738831,-0.603149
1523148934910081,0.0930786,0.285522,-0.739014,-0.603088
1523148934926126,0.0924683,0.285583,-0.739197,-0.602905
1523148934948685,0.0917969,0.285767,-0.73938,-0.602783
1523148934977260,0.0909424,0.286072,-0.739441,-0.602661
1523148934986286,0.090332,0.286438,-0.739502,-0.602539
1523148935008846,0.0901489,0.286682,-0.739563,-0.602295
1523148935029900,0.09021,0.287476,-0.739563,-0.601929
1523148935046450,0.0899658,0.288696,-0.739441,-0.601563
1523148935069004,0.0892334,0.28949,-0.739075,-0.601685
1523148935090062,0.0888672,0.290955,-0.73877,-0.60144
1523148935106106,0.0899048,0.291199,-0.738586,-0.601379
1523148935128665,0.0913696,0.290161,-0.73877,-0.60144
1523148935151223,0.0932007,0.289734,-0.738708,-0.601501
1523148935166265,0.0942383,0.289124,-0.738708,-0.601624
1523148935188832,0.0943604,0.288574,-0.738708,-0.601807
1523148935211384,0.0936279,0.288757,-0.738647,-0.601868
1523148935226424,0.0923462,0.289307,-0.738525,-0.60199
1523148935248984,0.090271,0.2901,-0.738403,-0.602051
1523148935271613,0.0892334,0.290283,-0.738281,-0.602356
1523148935286652,0.0892334,0.290466,-0.738037,-0.602539
1523148935309713,0.0898438,0.290466,-0.737793,-0.602783
1523148935331271,0.0907593,0.290405,-0.73761,-0.602844
1523148935345808,0.0916138,0.290588,-0.737488,-0.602783
1523148935368870,0.0922241,0.290771,-0.737427,-0.602722
1523148935391432,0.0922241,0.290771,-0.737427,-0.602722
1523148935405970,0.0919189,0.291382,-0.737366,-0.602539
1523148935429030,0.0916138,0.292053,-0.737244,-0.602356
1523148935451089,0.0911865,0.292297,-0.737244,-0.602295
1523148935465627,0.0907593,0.292542,-0.737366,-0.602112
1523148935496208,0.0903931,0.292847,-0.737427,-0.60199
1523148935511250,0.0899048,0.292725,-0.737549,-0.601868
1523148935525788,0.0892944,0.292908,-0.737549,-0.601929
1523148935548851,0.088623,0.292603,-0.737854,-0.601746
1523148935571410,0.0875244,0.293274,-0.737793,-0.601685
1523148935592466,0.0875854,0.292236,-0.738098,-0.601807
1523148935609008,0.0879517,0.291016,-0.738403,-0.60199
1523148935631068,0.0889282,0.290955,-0.73822,-0.602112
1523148935652625,0.0894165,0.290405,-0.738159,-0.602356
1523148935668669,0.0899048,0.289978,-0.738159,-0.602539
1523148935691228,0.0899048,0.289917,-0.738159,-0.602539
1523148935712283,0.0895996,0.290283,-0.738098,-0.602478
1523148935728830,0.0881348,0.291504,-0.737915,-0.602356
1523148935751389,0.0866699,0.29248,-0.737549,-0.602539
1523148935772444,0.0864868,0.292969,-0.737183,-0.602722
1523148935788987,0.0872192,0.293396,-0.736938,-0.602783
1523148935811046,0.0884399,0.293823,-0.736633,-0.602722
1523148935833710,0.0894165,0.293884,-0.736511,-0.602722
1523148935848749,0.0899048,0.294006,-0.736511,-0.602539
1523148935871312,0.0895996,0.294373,-0.73645,-0.602478
1523148935892368,0.0891724,0.294922,-0.736328,-0.602417
1523148935908910,0.0888062,0.295288,-0.736267,-0.602417
1523148935931474,0.0884399,0.295471,-0.736267,-0.602356
1523148935952525,0.0883179,0.295898,-0.736206,-0.602234
1523148935969071,0.0883179,0.295898,-0.736206,-0.602234
1523148935991129,0.0883179,0.295959,-0.736206,-0.602234
1523148936012185,0.0884399,0.295837,-0.736206,-0.602295
1523148936028730,0.0888062,0.295288,-0.736511,-0.602112
1523148936051288,0.0888672,0.294861,-0.737061,-0.601685
1523148936073848,0.0877686,0.293884,-0.736877,-0.602478
1523148936088387,0.0877686,0.293945,-0.737244,-0.602051
1523148936111448,0.0891724,0.292297,-0.73761,-0.602173
1523148936140025,0.0905151,0.290039,-0.73822,-0.602295
1523148936149050,0.0921631,0.288818,-0.738525,-0.602295
